TAIL_NUMBER,AVG_DELAY,PROPAGATION_COUNT,TOTAL_FLIGHTS
N621MQ,25.235135135135135,102,370
N927FR,29.855029585798817,97,338
N635MQ,23.845921450151057,94,331
N903EV,22.12039312039312,93,407
N510MQ,29.560897435897434,91,312
N697SW,17.746666666666666,90,300
N926FR,35.27244582043344,90,323
N627MQ,19.915211970074814,90,401
N521MQ,26.70731707317073,87,287
N934SW,17.35135135135135,86,407
N515MQ,28.575,85,320
N520MQ,27.851190476190474,85,336
N505MQ,27.17515923566879,85,314
N663MQ,25.710843373493976,84,332
N900MQ,19.017391304347825,84,345
N544MQ,34.18928571428572,84,280
N524MQ,23.561933534743204,84,331
N502NK,22.962099125364432,83,343
N518MQ,26.068441064638783,83,263
N952SW,21.50537634408602,83,372
N523MQ,22.727810650887573,82,338
N954FR,29.466019417475728,82,309
N355SW,16.634715025906736,82,386
N880AS,16.56867469879518,82,415
N612MQ,21.77810650887574,82,338
N620MQ,24.315315315315317,81,333
N909EV,17.65137614678899,80,436
N650MQ,21.21195652173913,80,368
N902EV,19.680790960451976,80,354
N644MQ,21.217821782178216,80,303
N962SW,25.768987341772153,78,316
N202FR,32.322404371584696,78,183
N358SW,13.30517711171662,78,367
N901EV,21.015544041450777,77,386
N8EGMQ,25.905109489051096,77,274
N391CA,30.696485623003195,77,313
N657SW,19.37391304347826,76,345
N506MQ,22.29051987767584,76,327
N5PBMQ,31.87547169811321,76,265
N539MQ,24.8576512455516,76,281
N514NK,34.14334470989761,76,293
N602MQ,18.440217391304348,75,368
N955SW,37.53508771929825,75,228
N948FR,27.443548387096776,75,248
N527MQ,23.855670103092784,75,291
N688MQ,19.74554707379135,75,393
N689MQ,16.457534246575342,75,365
N376SW,17.13903743315508,75,374
N630MQ,15.362606232294617,75,353
N503MQ,25.90625,74,288
N682MQ,20.04494382022472,74,356
N209FR,38.88181818181818,74,220
N519MQ,30.248,74,250
N517MQ,29.137123745819398,73,299
N6EAMQ,25.01967213114754,73,305
N516MQ,27.852320675105485,73,237
N903SW,18.53409090909091,73,352
N383SW,13.331670822942643,72,401
N906MQ,19.002958579881657,72,338
N879AS,20.803076923076922,72,325
N648MQ,18.68141592920354,72,339
N918FR,21.798816568047336,72,338
N698MQ,17.934725848563968,72,383
N905EV,18.844919786096256,72,374
N656MQ,18.885196374622357,72,331
N877AS,19.06958762886598,71,388
N937SW,15.27882037533512,71,373
N227FR,36.865800865800864,71,231
N912FR,21.739766081871345,71,342
N693BR,22.372549019607842,71,306
N935MQ,15.48019801980198,70,404
N658MQ,18.91891891891892,70,370
N423SW,40.2882096069869,70,229
N508MQ,25.185964912280703,70,285
N639SW,17.11413043478261,70,368
N931FR,21.252336448598133,70,321
N523NK,16.18831168831169,70,308
N615MQ,17.819628647214856,70,377
N646MQ,16.326869806094184,70,361
N943SW,23.961661341853034,69,313
N511MQ,22.750830564784053,69,301
N394SW,13.744125326370757,69,383
N902MQ,17.091623036649214,69,382
N514MQ,26.496350364963504,69,274
N941SW,17.867403314917127,69,362
N947FR,15.517241379310345,69,348
N701BR,17.66376811594203,69,345
N909MQ,13.176470588235293,69,340
N219FR,33.42125984251968,69,254
N691MQ,19.38135593220339,69,354
N855MQ,23.00769230769231,69,260
N608MQ,17.51764705882353,69,340
N606MQ,24.31438127090301,69,299
N205FR,30.34156378600823,69,243
N619MQ,16.912429378531073,68,354
N537MQ,20.320388349514563,68,309
N629MQ,12.043367346938776,68,392
N938FR,28.685512367491167,68,283
N638SW,11.864,68,375
N637SW,15.765625,68,384
N203FR,39.62244897959184,68,196
N685SW,17.880681818181817,68,352
N905MQ,17.571801566579634,67,383
N909SW,17.84552845528455,67,369
N542MQ,26.07335907335907,67,259
N655MQ,25.275229357798164,67,327
N653MQ,19.382262996941897,67,327
N980SW,17.473389355742295,67,357
N661MQ,19.33445945945946,67,296
N266JB,19.875776397515526,67,322
N905FR,16.876132930513595,67,331
N632NK,22.41812865497076,67,342
N642MQ,15.975138121546962,67,362
N986SW,16.17241379310345,66,348
N637MQ,20.678362573099417,66,342
N984CA,20.32378223495702,66,349
N607MQ,13.787958115183246,66,382
N616MQ,14.903225806451612,66,341
N604SW,12.135897435897435,65,390
N531MQ,21.578635014836795,65,337
N925MQ,14.583798882681565,65,358
N988CA,30.708,65,250
N512MQ,21.96389891696751,65,277
N610MQ,20.5,65,342
N923SW,16.640883977900554,65,362
N820AS,26.120343839541547,65,349
N709SW,15.19718309859155,65,355
N606SW,12.702185792349727,65,366
N645SW,13.750663129973475,64,377
N970SW,17.121037463976947,64,347
N834AS,23.50653594771242,64,306
N983CA,18.05263157894737,64,342
N9EAMQ,20.295373665480426,64,281
N500MQ,20.267100977198698,64,307
N317WN,14.390243902439025,63,328
N902FR,23.809859154929576,63,284
N919SW,20.49715909090909,63,352
N525NK,29.15806451612903,63,310
N675MQ,20.708333333333332,63,264
N292SW,26.492753623188406,63,276
N635NK,17.75541795665635,63,323
N640SW,14.155080213903743,63,374
N522NK,22.86378737541528,63,301
N908FR,23.160714285714285,63,336
N743SK,20.459074733096084,63,281
N945SW,19.634730538922156,63,334
N352SW,15.055702917771884,62,377
N939FR,28.897526501766784,62,283
N507MQ,30.725978647686834,62,281
N600MQ,27.286324786324787,62,234
N709BR,34.456273764258555,62,263
N860AS,14.222493887530563,62,409
N919FR,17.31896551724138,62,348
N364SW,18.59556786703601,62,361
N529NK,22.175324675324674,62,308
N930SW,17.474285714285713,62,350
N753EV,19.545751633986928,62,306
N932MQ,17.615635179153095,61,307
N676MQ,15.431372549019608,61,357
N684WN,14.483050847457626,61,354
N618NK,20.27364864864865,61,296
N223FR,38.272,61,250
N479CA,19.64367816091954,60,348
N623MQ,18.28923076923077,60,325
N920SW,19.36904761904762,60,336
N618MQ,17.960132890365447,60,301
N679SA,19.12251655629139,60,302
N760EV,24.041825095057035,60,263
N904EV,12.147869674185463,60,399
N946SW,12.50561797752809,60,356
N970AT,15.48358208955224,60,335
N720EV,22.887788778877887,60,303
N534MQ,20.52173913043478,60,299
N771SA,11.819209039548022,60,354
N647MQ,14.902654867256636,60,339
N471CA,20.50439882697947,60,341
N392SW,10.141119221411191,60,411
N704SW,10.36461126005362,60,373
N625SW,13.934097421203438,60,349
N216WR,14.385474860335195,60,358
N906EV,16.200992555831267,60,403
N361SW,17.12536443148688,59,343
N622MQ,14.306358381502891,59,346
N934FR,23.069182389937108,59,318
N706SW,10.319672131147541,59,366
N418WN,12.892537313432836,59,335
N214FR,23.0,59,211
N702BR,13.814024390243903,59,328
N951SW,15.941176470588236,59,340
N969SW,19.14245014245014,59,351
N932EV,15.273239436619718,59,355
N624NK,14.794425087108014,59,287
N723EV,19.782208588957054,59,326
N110SY,33.45945945945946,59,222
N627SW,13.146974063400576,59,347
N976SW,14.444126074498568,59,349
N395SW,10.54911838790932,59,397
N660MQ,14.994318181818182,59,352
N580SW,7.984615384615385,59,455
N657MQ,11.792,59,375
N119SY,28.20909090909091,59,220
N928FR,21.790273556231003,59,329
N963SW,22.390243902439025,58,287
N691WN,13.327027027027027,58,370
N746SW,10.914835164835164,58,364
N923FR,15.516616314199396,58,331
N106SY,29.177884615384617,58,208
N923MQ,13.647540983606557,58,366
N221FR,34.33864541832669,58,251
N892AT,29.09933774834437,58,302
N712EV,18.083870967741934,58,310
N767SK,21.007407407407406,58,270
N942MQ,13.222222222222221,58,369
N362SW,12.656992084432718,58,379
N614MQ,13.80939226519337,58,362
N621SW,9.798029556650246,58,406
N253WN,11.788856304985337,58,341
N247JB,20.54225352112676,58,284
N632MQ,12.762942779291553,58,367
N346SW,12.934508816120907,58,397
N633MQ,16.533923303834808,58,339
N528MQ,25.471264367816094,57,261
N382SW,10.923482849604222,57,379
N983SW,13.93010752688172,57,372
N924SW,16.63302752293578,57,327
N651MQ,14.463343108504398,57,341
N725SW,11.692982456140351,57,342
N670MQ,17.799295774647888,57,284
N582SW,13.962209302325581,57,344
N566SW,15.854591836734693,57,392
N994AT,21.075528700906343,57,331
N783SK,25.166666666666668,57,264
N929SW,12.557471264367816,57,348
N569SW,12.302197802197803,56,364
N365SW,13.489614243323443,56,337
N639MQ,18.868794326241133,56,282
N367SW,11.196629213483146,56,356
N938SW,15.0,56,353
N567SW,10.210290827740492,56,447
N532NK,16.88135593220339,56,295
N695MQ,11.409921671018276,56,383
N345SA,11.691689008042895,56,373
N498CA,20.93913043478261,56,230
N727SW,10.10483870967742,56,372
N603SW,10.162303664921465,56,382
N754EV,18.620462046204622,56,303
N611QX,20.70242214532872,56,289
N939SW,19.662379421221864,56,311
N526MQ,26.0398406374502,56,251
N907EV,23.135220125786162,56,318
N605NK,26.573943661971832,56,284
N646SW,11.164835164835164,55,364
N641MQ,14.401785714285714,55,336
N441WN,10.894308943089431,55,369
N838MQ,21.7531914893617,55,235
N1EAMQ,22.334710743801654,55,242
N925FR,24.687306501547987,55,323
N933FR,17.769968051118212,55,313
N204FR,26.770731707317072,55,205
N631SW,13.234501347708894,55,371
N284WN,11.955555555555556,55,360
N366SW,12.567415730337078,55,356
N357SW,13.65648854961832,55,393
N761RR,14.2603550295858,55,338
N522MQ,20.76923076923077,55,260
N543MQ,28.36945812807882,55,203
N872AS,20.115853658536587,55,328
N245WN,13.745562130177515,55,338
N608JB,24.129032258064516,55,217
N7740A,11.64804469273743,55,358
N609MQ,18.78443113772455,55,334
N876AS,12.742316784869976,55,423
N458WN,14.921630094043888,55,319
N617MQ,16.107784431137723,55,334
N908SW,15.65606936416185,54,346
N509JB,28.62272727272727,54,220
N775SW,12.22191011235955,54,356
N457WN,13.15170278637771,54,323
N329JB,19.61230769230769,54,325
